,Text,Labels
19,the structure of this film is easily the most tightly constructed in the history of cinema  i can think of no other film where something vitally important occurs every other minute  in other words the content level of this film is enough to easily fill a dozen other films  how can anyone in their right mind ask for anything more from a movie than this  its quite simply the highest most superlative form of cinema imaginable  yes this film does require a rather significant amount of puzzlesolving but the pieces fit together to create a beautiful picture  this short film certainly pulls no punches  graphics is far from the best part of the game  this is the number one best th game in the series  it deserves strong love  it is an insane game  there are massive levels massive unlockable characters its just a massive game  waste your money on this game  this is the kind of money that is wasted properly  actually the graphics were good at the time  today the graphics are crap  as they say in canada this is the fun game aye  this game rocks  buy it play it enjoy it love it  its pure brilliance  this was a flick doomed from its conception  the very idea of it was lame  take a minor character from a mediocre pg film and make a complete nonsequel while changing its tone to a pgrated family movie  i wasnt the least bit interested  not only did it only confirm that the film would be unfunny and generic but it also managed to give away the entire movie and im not exaggerating  every moment every plot point every joke is told in the trailer  but its just not funny  but even the talented carrell cant save this  his costars dont fare much better with people like morgan freeman jonah hill and ed helms just wasted  the story itself is just predictable and lazy  the only real effects work is the presence of all the animals and the integration of those into the scenes is some of the worst and most obvious bluegreenscreen work ive ever seen  but whatever it was that cost them so much it didnt translate to quality thats for sure  the film succeeds despite or perhaps because of an obviously meagre budget  im glad the film didnt go for the most obvious choice as a lesser film certainly would have  in addition to having one of the most lovely songs ever written french cancan also boasts one of the cutest leading ladies ever to grace the screen  its hard not to fall headoverheels in love with that girl  on the negative its insipid enough to cause regret for another  hours of life wasted in front of the screen  long whiny and pointless  but i recommend waiting for their future efforts let this one go  excellent cast story line performances  totally believable  anne heche was utterly convincing  sam shepards portrayal of a gung ho marine was sobering  i sat riveted to the tv screen  all in all i give this one a resounding  out of   i do think tom hanks is a good actor  i enjoyed reading this book to my children when they were little  i was very disappointed in the movie  one character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard  there is a totally unnecessary trainroller coaster scene  there was absolutely no warmth or charm to these scenes or characters  this movie totally grates on my nerves  the performances are not improved by improvisation because the actors now have twice as much to worry about not only whether theyre delivering the line well but whether the line itself is any good  and quite honestly often its not very good  often the dialogue doesnt really follow from one line to another or fit the surroundings  it crackles with an unpredictable youthful energy  but honestly i found it hard to follow and concentrate on it meanders so badly  there are some generally great things in it  i wouldnt say theyre worth  hours of your time though  the suspense builders were good  just cross the line from g to pg  i especially liked the noncliche choices with the parents in other movies i could predict the dialog verbatim but the writing in this movie made better selections  if you want a movie thats not gross but gives you some chills this is a great choice  alexander nevsky is a great film  he is an amazing film artist one of the most important whoever lived  im glad this pretentious piece of s didnt do as planned by the dodge stratus big shots its gonna help movie makers who arent in the very restrained movie business of qubec,0
20,this if the first movie ive given a  to in years,1
21,if there was ever a movie that needed wordofmouth to promote this is it,1
22,overall the film is interesting and thoughtprovoking,1
23,plus it was wellpaced and suited its relatively short run time,1
24,give this one a look,1
25,i gave it a,1
26,the wind and the lion is well written and superbly acted,1
27,it is a true classic,1
28,it actually turned out to be pretty decent as far as blist horrorsuspense films go,1
29,definitely worth checking out,1
30,the problem was the script,0
31,it was horrendous,0
32,there was nothing believable about it at all,0
33,the only suspense i was feeling was the frustration at just how retarded the girls were,0
34,manna from heaven is a terrific film that is both predictable and unpredictable at the same time,1
35,the scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going,1
36,the cast of veteran actors are more than just a nostalgia trip,1
37,ursula burtons portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church,1
38,if you are looking for a movie with a terrific cast some good musicincluding a shirley jones rendition of the way you look tonight and an uplifting ending give this one a try,1
39,i dont think you will be disappointed,1
40,frankly after cotton club and unfaithful it was kind of embarrassing to watch lane and gere in this film because it is bad,0
41,the acting was bad the dialogs were extremely shallow and insincere,0
42,it was too predictable even for a chick flick,0
43,too politically correct,0
44,very disappointing,0
45,the only thing really worth watching was the scenery and the house because it is beautiful,1
46,i love lane but ive never seen her in a movie this lousy,0
47,an hour and a half i wish i could bring back,0
48,but in terms of the writing its very fresh and bold,1
49,the acting helps the writing along very well maybe the idiotsavant sister could have been played better and it is a real joy to watch,1
50,the directing and the cinematography arent quite as good,0
51,the movie was so boring that i sometimes found myself occupied peaking in the paper instead of watching never happened during a columbo movie before,0
52,and sometimes it was so embarrassing that i had to look away,0
53,the directing seems too pretentious,0
54,the scenes with the ohsomature neighbourgirl are a misplace,0
55,and generally the lines and plot is weaker than the average episode,0
56,then scene where they debated whether or not to sack the trumpeter who falsely was accused for the murder is pure horror really stupid,0
57,some applause should be given to the prelude however,1
58,i really liked that,1
59,a great film by a great director,1
60,the movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night,1
61,the music in the film is really nice too,1
62,id advise anyone to go and see it,1
63,brilliant,1
64,,1
65,i liked this movie way too much,1
66,my only problem is i thought the actor playing the villain was a low rent michael ironside,0
67,it rocked my world and is certainly a must see for anyone with no social or physical outlets,1
68,however this didnt make up for the fact that overall this was a tremendously boring movie,0
69,there was no chemistry between ben affleck and sandra bullock in this film and i couldnt understand why he would consider even leaving his wifetobe for this chick that he supposedly was knocked out by,0
70,there were several moments in the movie that just didnt need to be there and were excruciatingly slow moving,0
71,this was a poor remake of my best friends wedding,0
72,all in all a great disappointment,0
73,i cannot believe that the actors agreed to do this film,0
74,i could not stand to even watch it for very long for fear of losing iq,0
75,i guess that nobody at the network that aired this dribble watched it before putting it on,0
76,imdb ratings only go as low  for awful its time to get some negative numbers in there for cases such as these,0
77,i saw mirrormask last night and it was an unsatisfactory experience,0
78,unfortunately inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict,0
79,these are the central themes of the film and they are handled ineptly stereotypically and with no depth of imagination,0
80,all the pretty pictures in the world cannot make up for a piece of work that is flawed at the core,0
81,it is an hour and half waste of time following a bunch of very pretty high schoolers whine and cry about life,0
82,you cant relate with them hell you barely can understand them,0
83,this is definitely a cult classic well worth viewing and sharing with others,1
84,this movie is a pure disaster the story is stupid and the editing is the worst i have seen it confuses you incredibly,0
85,the fish is badly made and some of its underwater shots are repeated a thousand times in the film,0
86,a truly truly bad film,0
87,the acting is terrible and the writing is worse,0
88,the only possible way this movie could be redeemed would be as mstk fodder,0
89,i paid too much,0
90,also its a real treat to see anthony quinn playing crazy horse,1
91,it was so boring,0
92,no plot whatsoever,0
93,again no plot at all,0
94,horrible,0
95,worst hour and a half of my lifeoh my gosh,0
96,i had to walk out of the theatre for a few minutes just to get some relief,0
97,i hate movies like that,0
98,yeah the movie pretty much sucked,0
99,there is no plot or storyline,0
100,if you do go see this movie bring a pillow or a girlfriendboyfriend to keep you occupied through out,0
101,awful,0
102,i dont think ive ever gone to a movie and disliked it as much,0
103,it was a good thing that the tickets only cost five dollars because i would be mad if id have paid  to see this crap,0
104,nobody identifies with these characters because theyre all cardboard cutouts and stereotypes or predictably reversestereotypes,0
105,this is a bad film with bad writing and good actorsan ugly cartoon crafted by paul haggis for people who cant handle anything but the bold strokes in storytellinga picture painted with crayons,0
106,crash is a depressing little nothing that provokes emotion but teaches you nothing if you already know racism and prejudice are bad things,0
107,still i do like this movie for its empowerment of women theres not enough movies out there like this one,1
108,your brain will attempt to shutdown as part of a primal impulse of selfpreservation,0
109,i was left shattered from the experience of watching this film and i took a good two hours to fully recover,0
110,this movie now joins revenge of the boogeyman and zombiez as part of the hellish trinity of horror films,0
111,i certainly do not mean this distinction in a good way,0
112,i mean this in a terrible way,0
113,this film has no redeeming features,0
114,everything is appalling,0
115,artless camerawork endlessly presents us with the ugliest setting imaginable ie,0
116,the story is beyond stupid,0
117,the script iswas there a script,0
118,the kids are annoying,0
119,the lead man is charismafree,0
120,utterly without merit on any level this is akin to torture,0
121,ill even say it again  this is torture,0
122,maybe there would be a reasonable explanation for this atrocity,0
123,not a pleasant voyage of selfdiscovery,0
124,highly unrecommended,0
125,if this premise sound stupid thats because it is,0
126,yes its that bad,0
127,nothing at all to recommend,0
128,an excellent performance from ms,1
129,garbo who showed right off the bat that her talents could carry over from the silent era i wanted to see some of her silent work but netflix doesnt seem to be stocking them,1
130,its also great to see that renowned silent screenwriter frances marion hasnt missed a step going from silent to sound,1
131,this movie suffered because of the writing it needed more suspense,0
132,there were too many close ups,0
133,but other than that the movie seemed to drag and the heroes didnt really work for their freedom,0
134,but this movie is definitely a below average rent,0
135,youll love it  this movie is bad  so bad  the film is way too long  this is definitely one of the bad ones  the movie i received was a great quality film for its age  john wayne did an incredible job for being so young in the movie industry  his on screen presence shined thought even though there were other senior actors on the screen with him  i think that it is a must see older john wayne film  i really dont see how anyone could enjoy this movie  i dont think ive ever seen a movie half as boring as this selfindulgent piece of junk  it probably would have been better if the director hadnt spent most of the movie showcasing his own art work which really isnt that noteworthy  another thing i didnt really like is when a character got punched in the face a gallon of blood would spew forth soon after  jamie foxx absolutely is ray charles  his performance is simply genius  he owns the film just as spacek owned coal miners daughter and quaid owned great balls of fire,1
136,in fact its hard to remember that the part of ray charles is being acted and not played by the man himself  ray charles is legendary  ray charles life provided excellent biographical material for the film which goes well beyond being just another movie about a musician  hitchcock is a great director  ironically i mostly find his films a total waste of time to watch  secondly hitchcock pretty much perfected the thriller and chase movie  its this pandering to the audience that sabotages most of his films  hence the whole story lacks a certain energy  the plot simply rumbles on like a machine desperately depending on the addition of new scenes  there are the usual hitchcock logic flaws  mishima is extremely uninteresting  this is a chilly unremarkable movie about an author livingworking in a chilly abstruse culture  the flat reenactments dont hold your attention because they are emotionally adrift and stagy  and the rest of it just sits there being awful with soldiers singing songs about the masculinity they pledge themselves to hairsplitting about purity the admiration of swords etc  he can bore you to pieces and kill the momentum of a movie quicker than anyone else  schrader has made a resume full of lousy amateurish films  when i first watched this movie in the s i loved it  i was totally fascinated by the music the dancing everything  however i recently watched the whole thing again on dvd and i was completely struck by how extremely stupid the storyline was  how it contained holes inconsistencies and  frankly  a whole lot of crap  and how horrid the dancing was  i mean in a realistic world she would never have gotten into that ballet repertory the whole thing was quite pathetic  the character developments also lacked in depth  woa talk about awful  do not waste your time  it was just too horrible  the worst sappiest dialogue i could go on and on  but what really made it unwatchable was the direction  the poor actors  you cant even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action  if you check the directors filmography on this site you will see why this film didnt have a chance  this would not even be good as a made for tv flick  if good intentions made a film great then this film might be one of the greatest films ever made  the film has great actors a master director a significant themeat least a wouldbe significant theme undertone of fifties existential worldweariness aerial scenes that ought to have thrilled both senses and imagination and characters about which one might deeply care  regrettably the film fails  the movie lacks visual interest drama expression of feeling and celebration of the very patriotism that underlines the narrative  no actress has been worse used that june allison in this movie  yet i enjoy watching it  unfortunately this is a bad movie that is just plain bad  bad script bad direction and horrible acting make this one plain bad  the dialogue sucked  the cinematographyif it can be called thatsucked  the soundtrack sucked  the acting sucked  the concert sequences just sucked  that was nice  that was funny  it was so funny  overall this movie was cheap trash  but this movie is not funny considering the ridiculousness of it  i came out of it feeling angry  spoilers whatever else can or cant be said about it surface is superbly crafted  the cinematography is simply stunning to say the least and the fx are nothing if not stateoftheart  conceptually the show offers a little bit of everything and for just about everybody parents kids fantasy andor fx fans  and there wasnt a single sour note struck actingwise either some surprisingly solid casting here  all things considered a job very well done  thanks good a movie like this was done and released  one of the best mexican movies ever and one of the less understood even by mexican themselves no matter how identified the should have felt with it  it ranks highly as a great noircrimedrama incredible performances by belmondo and lino ventura  the attention given to every character and complex psychological portrayals detailing loyalty treachery love and hope are tremendous  it is an excellent drama an excellent thriller and an excellent film  up there with the best of melville  everything about this film is simply incredible  you truly take this journey through the eyes and soul of a child  black water is a thriller that manages to completely transcend its limitations its an indie flick by continually subverting expectations to emerge as an intense experience  the performances are real and gripping the crocdodile is extremely well done indeed if the black water website is to be believed thats because they used real crocs and the swamp location is fabulous  i thoroughly enjoyed it when christopher eccleston took control of the tardis and the continuation of the series  im not sure what he was trying to do with this film  if it was to turn my good day feeling into a night of disturbing memories than i guess he succeeded  there is a lot of beautiful places  it was forced like everything in this movie  again lame  heres where the movie really pied me off  and dont even get me started on the jerky camerawork  when i saw it in the theater i thought i was going to be sick  summary the witticisms werent witty  the plot  well i said id let that one go  the acting was bad  really bad  even billy bob couldnt rise above the script which was worse  camerawork  again bad  rating  out of   an amazing finale to possibly the best trilogy of all time  kieslowski never ceases to amaze me  he is one of my favourite directors and one of the most talented directors in the history of cinema  his use of the colours of the french flag in the three films was nothing short of incredible every shot every scene was like a work of art  three of the most visually appealing movies ive ever seen  and his subtle connections between the three films are awesome  i have to mention this and it is a huge spoiler i loved the ending how all the characters of the three films were the remaining survivors of the ferry disaster with valentine and the young judge together and the old man watching it on her tv solidifying his happiness over the suffering which he dealt with for those many years  i couldnt think of a better way to end the film but a smile on my face great way to wrap up an amazing film and trilogy  i recommend this for everyone who loves film movies anythinga work of art   out of  for both the movie and trilogy  i literally vomited while watching this film  i think i was one of the people who found this another one of roths pearls  his performance as awarded was stunning  the story which was told so eloquently by francis ford coppola  years earlier really unfolds gradually and leaves room for the characters to develop  in a most wonderful location lies a story of contrast  all in all a beautiful directed film from nicolas roeg wih a sublime cast  im translating movies for a living and this is the first movie in my year working experience that i found offensive to my intelligence  but when someone strives for greatness and poetry but delivers a muddled and often ridiculous story a bunch of disparate scenes pretentious dialogue then you get the worst kind of a movie that some other reviewer very accurately defined as pretentious crap,0
137,to those who find this movie intelligent or even masterful i can only say  its your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt its in our human nature to try and make sense of things,0
138,one more thing i can tolerate political incorrectness very well im all for artistic freedom and suspension of disbelief but the slavic female character was just too much,0
139,this is such a fun and funny movie,1
140,highly entertaining at all angles,1
141,it features an outlandish array of memorable psychotic but lovable nuts,1
142,so for our enjoyment we get to see them run around play games and be dangerous,1
143,it even has its sweet moments,1
144,the telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine,1
145,all the characters in this film are tremendously well played,1
146,and i really did find them funny,1
147,this is actually a very smart movie,1
148,there is a brilliant twist ending,1
149,i love it  the ending is so so perfect youll shed a tear  i am so thrilled after seeing a movie like this  i will never forget it now  it is not just a cult it is a cult classic  which has more depth and character than the man underneath it  the malta settings are as dry and as barren as the dialogue  this movie is terrible  the hockey scenes are terrible defensemen playing like theyre  years old goalies diving at shots that are  feet wide of the net etc  for those that havent seen it dont waste your time  to call this movie a drama is ridiculous  started watching this but didnt believe in any of the characters  in particular the relationship between the bakery assistant and the waitress just didnt work for me at all  it was a very superficial movie and it gave me the feeling that i was watching play rather than a film  the characters were very stagey and the storyline was a lot like a stage farce  by the time the pyromaniac waylaid the assistant i was bored and didnt care what happened next and so i switched off  glad i didnt pay to see it  didnt laugh or even smile once  but it wasnt anything at all just one big yawn  it is a really good show to watch  it is very educational for children  to  years old  barney is definitely super de duper  is pretty funny  babie bop is very cute  the kids are very cool too   but storm trooper is not even bad enough to make it to the list of wonderfully terrible movies,0
150,its just lame,0
151,the guy who said hes had better dialogue with his potted plants has it right,0
152,everything about this movie is stupid,0
153,even if you love bad movies do not watch this movie,0
154,it is shameful,0
155,i would give this television series a  plus if i could,1
156,the writers were smack on and i think the best actors and actresses were a bonus to the showthese characters were so real,1
157,i must say i have taped most of the episodes and i find myself watching them over and over again,1
158,now you know why i gave it a,1
159,i dont know exactly what it is about this movie but we latched on to this endearing movie and it has become a special part of our familys memories,1
160,i totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is,1
161,the things that the four kids get themselves into is absolutely hilarious to watch,1
162,this is one of the best movies out there that shows such strong sibling bond for each other,1
163,much more interesting more action more suspense and less of the unneeded controversy,1
164,everything from acting to cinematography was solid,1
165,definitely worth checking out,1
166,damian is so talented and versatile in so many ways of writing and portraying different characters on screen,1
167,this movie has a cutting edge to it,1
168,i am so pleased to know such a modern day genius is out there  letting is passion for art drive him and taking us as an audience with him,1
169,the new characters werent all that memorable and i found myself forgetting who was who,0
170,i felt as though her going to ireland did absolutely nothing whatsoever,0
171,it didnt make me scared horrified or make me sympathetic towards the characters it was simply annoying,0
172,the jerky camera movements were also annoying,0
173,the plot was the same as pretty much every other cheap horror,0
174,there was a few pathetic attempts to give the characters some depth but it didnt really work into the rest of the plot,0
175,i guess it was supposed to be clever twist then shed some light on the situation but it was just stupid,0
176,if you see it you should probably just leave it on the shelf,0
177,elias koteasjack palance play good roles angelina is hot and gets nakedbilly drago appears in this and is cool as usual  a cameo by sven ole thorsen helps make this a very enjoyable movie with good acting and a decent budget,1
178,this was such an awesome movie that i bought it off of ebay,1
179,i really loved the story line and the poler bear was kinda cutebut if anyone has a question about fort steele just ask away,1
180,this totally unfunny movie is so over the top and pathetic and unrealistic that throughout the whole  minutes of utter torture i probably looked at my watch about  times,0
181,lucy bell is so much higher than this crap and for her to sink this low is quite depressing,0
182,all this movie does is make you sick watching all these slackers make excuses for their stupid actions for  minutes,0
183,god and i can never get that  minutes back,0
184,i think the most wonderful parts literally full of wonder are the excerpts from his works,1
185,the sets especially designed to work with the camera are amazingstylized beautiful and effective,1
186,they could be used as exemplars for any set designer,1
187,the stories were powerful explorations of the nature of man and of art,1
188,after watching this film i wanted to learn more about the works of this artist,1
189,i highly recommend this movie for anyone interested in art poetry theater politics or japanese history,1
190,here in the wind and the lion we see a wonderful rendering of americas own imperial age,1
191,what makes this story different are the terrific production values  faultless photography composition and editing  the terrific casting  the underappreciated brian keith playing a bully teddy  and vivid history,1
192,though the wind and the lion is told largely through the eyes of the son every member of the family can identify with one of the characters whether it be sean connerys noble brigand candace bergens feisty heroine john hustons wily john hay or steve kanalys spiffy radiant ruthless cando lieutenant roosevelts big stick,1
193,this is high adventure at its best,1
194,i think it was robert ryans best film because he portrayed someone like my father and he was a schizophrenic in real lifemy father although he never murdered anyone but was affected more so during the second world war which made him worse,1
195,having to humour him just to get by and get through the day was so apt,1
196,my mother and brother had to do thiswhen i saw robert ryan portraying this type of man it was a very good imitation of this type of individual and i was impressed,1
197,almost all of the songs in cover girl are oldfashioned and not very tuneful,0
198,the most annoying thing about cover girl is the way in which rita hayworth is put up on a pedestal,0
199,unfortunately cover girl is an example of how hollywood used to exploit women for financial gain,0
200,nonlinear narration thus many flashbacks and every part are articulated quite well,1
201,the good cinematography also makes her and monica bellucci look very beautiful,1
202,a good commentary of todays love and undoubtedly a film worth seeing,1
203,for people who are first timers in film making i think they did an excellent job,1
204,it was very popular when i was in the cinema a good house and very good reactions and plenty of laughs,1
205,its a feelgood film and thats how i felt when i came out of the cinema,1
206,it has northern humour and positive about the community it represents,1
207,i rather enjoyed it,1
208,i liked it,1
209,i couldnt take them seriously,0
210,it really created a unique feeling though,1
211,vivian schilling did an excellent job with the script,1
212,a world better than  of the garbage in the theatres today,1
213,her role was played well,1
214,not too screamy not to masculine but just right,1
215,the camera really likes her in this movie,1
216,i would have casted her in that role after ready the script,1
217,as a european the movie is a nice throwback to my time as a student in the s and the experiences i had living abroad and interacting with other nationalities although the circumstances were slightly different,1
218,i am a fan of his  this movie sucked really bad,0
219,even worse than ticker,0
220,that movie was bad,0
221,only like  or  buildings used a couple of locations maybe  poor hummh,0
222,it just blew,0
223,this movie is excellentangel is beautiful and scamp is adorablehis little yelps when hes scaredand the funniest parts are whenscamp is caught under the curtain and when angel and scamp are singing ive never had this feeling beforei totally recommend this movieits coming out on special edition on june the cover has scamp on a garbage can and angel underneath the lid,1
224,i just cant explain this movie more than romanticcharminghilariousand adorablethe junkyard scenes are funnyall the junkyard dogs have something specialtoo funny i laughedkids will love itbuy it when it comes outit has new features,1
225,now we were chosen to be tortured with this disgusting piece of blatant american propaganda,0
226,this show is made for americans  it is too stupid and full with hatred and clichs to be admitted elsewhere,0
227,almost everyone involved must be return to school acting is utterly predictable and bad script is pile of garbage all round,0
228,i wish i could enter negative values admins,0
229,the sets are so bad they wouldnt look out of place on a thunderbirds episode,0
230,the use of slowmotion needlessly repeats itself throughout the movie but is well backed up by bad acting and bad is a kind word here no continuity scenes that are thrown in for no reason whatsoever vehicles that looked like they were made from a corn flakes box and a directorial style that bordered on stupidity,0
231,oh yeah and the storyline was pathetic too,0
232,i hate writing bad reviews about films  especially those in which i really like the star  but this film is so bad i dont believe for one second that anyone could have been proud of it,0
233,i am not a filmmaker nor am i a director but i would hide my head in the sand if id spent whatever amount of money and time on this movie,0
234,in short  this was a monumental waste of time and energy and i would not recommend anyone to ever see this film,0
235,it came free with a dvd player i bought but i still turned the thing off halfway through because i was embarrassed for howell,0
236,and only because there is no setting for,0
237,an interesting premise and billy drago is always good as a dangerous nutbag side note id love to see drago stephen mchattie and lance hendrikson in a flick together talk about raging cheekbones,1
238,the soundtrack wasnt terrible either,1
239,but the actingeven that of such professionals as drago and debbie rochonwas terrible the directing worse perhaps contributory to the former the dialog chimplike and the camera work barely tolerable,0
240,still it was the sets that got a big  on my oyvey scale,1
241,yes i am simplifying things here for the sake of brevity for this really is at the core of the problems with this film  it has too much going on without any real fulfilling explanation,0
242,both do good jobs and are quite amusing,1
243,but the convoluted plot just didnt convince me and much of the film was watched with a weird questioning glance,0
244,i let my girlfriend talk me into seeing this  bad idea we both hated it,0
245,the last  minutes of movie are also not bad as well,1
246,bela lugosi was totally extraneous intoning odd lines,0
247,the acting was decidely wooden though no worse than a period universal b movie,0
248,i like armand assante  my cable companys summary sounded interesting so i watched it twice already and probably will again,1
249,i believe the screenwriter did a good job of tying up the loose ends,1
250,my  score is mostly for the plot,1
251,i wont say any more  i dont like spoilers so i dont want to be one but i believe this film is worth your time,1
252,wow what a bad film,0
253,not frightening in the least and barely comprehensible,0
254,the plot doesnt hang together at all and the acting is absolutely appalling,0
255,not even good for camp value,0
256,i wasnt expecting oscar material but this,0
257,youd have to have the iq of particularly stupid mollusk not to see that one coming,0
258,this film and i use that word loosely is an insult to the moviegoing public,0
259,if only someone involved with it knew how to string together narrative,0
260,this gets a  out of  simply because theres nothing lower,0
261,this is one i did not have but i watched it recently on fox movie channel and was very disappointed,0
262,i know he was a contract player with little control over his scripts but the acting was as bad as the script,0
263,victor mclaglen was even bad and brian donlevy was almost unrecognizable,0
264,considering the relations off screen between taylor and stanwyck it was surprising how little chemistry there was on screen between the two of them,0
265,but the premise of the film was so ridiculous that the president of the us,0
266,the death row scenes were entirely unmoving,0
267,the only thing worse than taylors acting was stanwycks singing,0
268,whatever the producer was going for he missed entirely,0
269,i was deeply impressed with the character he played,1
270,i knew when i saw the film that more great things were to come from this gifted actor,1
271,a cheap and cheerless heist movie with poor characterisation lots of underbite style stoic emoting think chow yun fat in a better tomorrow and some cheesy clichs thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la john woo,0
272,even the squibs look awful,0
273,at no point in the proceedings does it look remotely like america,0
274,the plot such as it is is so derivative and predictable that the ending is like a mercy killing,0
275,the awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time,0
276,i was very uneasy with how bad this movie was but not scared at all,0
277,the dialogue is composed of things that make little sense,0
278,about  minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudosatanic gibberish corny enough to make a teen goth blush almost always in olde english and sometimes in latin that may or may not be made up words,0
279,the directing is sloppy at best,0
280,hackneyed writing certainly but made even worse by the bad directing,0
281,of course the acting is blah,0
282,the acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting,0
283,and finally after all that we get to an ending that wouldve been great had it been handled by competent people and not jerry falwell,0
284,i loved this movie it was a great portrayal of a family who had its share of ups and down but in the end they knew that special love they had for each other,1
285,i have seen many movies starring jaclyn smith but my god this was one of her best though it came out  years ago,1
286,this movie contained an allstar cast and what i loved the most was that it opened my eyes to see other actors who i havent seen before,1
287,this movie was kind of long in length but i enjoyed every minute of it,1
288,overall i rate this movie a  out of a  scale,1
289,lifetime does not air it enough so if anyone knows what store sells it let me know because this is a musthave,1
290,i particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning and even less meaning,0
291,it is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs,0
292,totally different with loads of understatement and black comedy this is a film few get to see but those who do will remember it,1
293,this movie creates its own universe and is fascinating in every way,1
294,but this movie really got to me,1
295,see it,1
296,i really hope the team behind this movie makes more movies and that they will continue to do so in their own some kinda weird style,1
297,and i forgot the casting here i superb with trond fausa aurvg being perfect in the role as the bothersome man who doesnt understand where he is what he is doing and why,1
298,this movie is a good and humorous comment on life in,1
299,i found this move beautiful enjoyable and uplifting,1
300,initially the local sites in the film which was filmed here in buffalo intrigued me,1
301,later i found myself lost in the power of the film,1
302,the entire audience applauded at the conclusion of the film,1
303,i left the theater with a lilt in my step joy in my heart and hope for the human race,1
304,duris has a wholesome appearance and gives a fine performance,1
305,the rest of the cast also play well,1
306,cinematography noteworthy including fine views of barcelona and its famed gaudi towers,1
307,about ten minutes into this film i started having second thoughts,0
308,about half way through this film i started to dislike it,0
309,by the time the film ended i not only disliked it i despised it,0
310,what this film lacks is a convincing script,0
311,the script looks as if only a rough draft was written and shooting began before a finished script was completed,0
312,things happen characters personalities change plot twists occur for no real reason other than that script calls for it,0
313,the cast is good,1
314,for that its worth checking out,1
315,this is probably the most irritating show i have ever seen in my entire life,0
316,it is indescribably the most annoying and idiotic show i have ever seen,0
317,everything about it is just bad,0
318,i could not understand what kind of idiot would produce this mess in the first place not to mention several season,0
319,the script is bad very bad  it contains both cheesiness and unethical joke that you normally see in rated r or nc movie,0
320,the casting is also horrible cause all you see is a really really bad actors period,0
321,final word this show is a real torture,0
322,it is zillion times away from reality,0
323,watching washing machine twirling around wouldnt hurt your eyes as much as this show,0
324,rating  grade z note the show is so bad that even mother of the cast pull her daughter out of the show,0
325,th century foxs road house  is not only quite a silly noir but is an implausible unmitigated bore of a movie,0
326,full of unconvincing cardboard characters it is blandly written by edward chodorov who also produced and is surprisingly directed by jean negulesco from whom one would expect a great deal more,0
327,from here on the widmark character turns unintentionally comical,0
328,his losing his marbles so early in the proceedings is totally implausible and unconvincing,0
329,and if that isnt enough of a mess of a movie for you  the picture is also marred with a constant use of studio sets and indoor exteriors,0
330,whatever prompted such a documentary is beyond me,0
331,very serious spoilers this movie was a huge disappointment,0
332,there are so many problems i dont know where to start,0
333,the cast was great,1
334,steve martin delivers a really funny performance of a middleaged upper class uptight white guy,1
335,add betty white and jean smart and you have a great cast  everyone played their parts really well,1
336,but the movie makes a lot of serious mistakes,0
337,first of all there are enough racial stereotypes and racial jokes to offend everyone,0
338,the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs,0
339,putting the race card aside lets look at the major flaw in the film they destroy latifas character,0
340,there is no real plot,0
341,i wouldnt see this movie again for free,0
342,steamboat willie is an amazingly important film to our cinema history,1
343,this second appearance of mickey mouse following the silent plane crazy earlier that year is probably his most famous filmmostly because it was so groundbreaking,1
